Round,Total_Traffic_KB,Agg_Time_Sec,Server_CPU,Server_RAM
1,32954.3115234375,849.081618309021,0.1,16.0
2,32954.3115234375,997.350257396698,0.1,16.1
3,32954.3115234375,997.5492095947266,0.1,16.4
4,32954.3115234375,992.7810485363007,0.1,16.3
5,32954.3115234375,992.4872243404388,0.1,16.4
6,32954.3115234375,994.4361233711243,0.1,16.4
7,32954.3115234375,990.6005113124847,0.1,16.4
8,32954.3115234375,991.1005535125732,0.1,16.4
9,32954.3115234375,995.6199431419373,0.1,16.5
10,32954.3115234375,999.5591883659363,0.1,16.5
11,32954.3115234375,994.5748314857483,0.1,16.4
12,32954.3115234375,995.679610490799,0.1,16.3
13,32954.3115234375,996.5995423793793,1.2,17.5
14,32954.3115234375,991.8957810401917,1.1,16.5
15,32954.3115234375,1002.0266721248627,0.0,16.8
16,32954.3115234375,986.0927274227142,0.1,16.6
17,32954.3115234375,993.9470481872559,0.1,16.6
18,32954.3115234375,996.3433620929718,0.1,16.9
19,32954.3115234375,991.5780491828918,0.0,16.7
20,32954.3115234375,990.6942625045776,0.1,17.0
